nome,nota,faltas,situação,turma
Ana,5.2,5,Reforço,6ºA
Bruno,6.8,1,Reforço,6ºA
Carla,9.3,5,Aprovado,6ºA
Davi,5.5,4,Reforço,6ºA
Eduarda,7.6,10,Aprovado,6ºA
Fábio,6.3,6,Reforço,6ºB
Gabi,8.7,3,Aprovado,6ºB
Henrique,4.8,5,Reprovado,6ºB
Iara,4.4,5,Reprovado,6ºB
João,8.9,1,Aprovado,6ºB
Karla,4.6,10,Reprovado,7ºA
Lucas,7.8,10,Aprovado,7ºA
Maria,4.7,10,Reprovado,7ºA
Nathan,9.1,6,Aprovado,7ºA
Olívia,6.5,5,Reforço,7ºA
Paulo,5.6,4,Reforço,7ºB
Quésia,5.0,8,Reforço,7ºB
Rafael,7.0,0,Aprovado,7ºB
Sílvia,5.4,2,Reforço,7ºB
Tiago,9.6,8,Aprovado,7ºB
