nome,nota,faltas,situação,turma
Ana,9.3,0,Aprovado,6ºA
Bruno,9.5,3,Aprovado,6ºA
Carla,7.2,2,Aprovado,6ºA
Davi,5.7,9,Reforço,6ºA
Eduarda,4.4,8,Reprovado,6ºA
Fábio,8.5,2,Aprovado,6ºB
Gabi,4.9,7,Reprovado,6ºB
Henrique,4.3,7,Reprovado,6ºB
Iara,9.1,8,Aprovado,6ºB
João,8.7,7,Aprovado,6ºB
Karla,7.0,9,Aprovado,7ºA
Lucas,5.9,3,Reforço,7ºA
Maria,8.0,5,Aprovado,7ºA
Nathan,6.9,3,Reforço,7ºA
Olívia,7.0,9,Aprovado,7ºA
Paulo,7.6,7,Aprovado,7ºB
Quésia,8.9,3,Aprovado,7ºB
Rafael,7.6,8,Aprovado,7ºB
Sílvia,7.7,4,Aprovado,7ºB
Tiago,7.9,5,Aprovado,7ºB
