nome,nota,faltas,situação,turma
Ana,4.0,4,Reprovado,6ºA
Bruno,7.4,4,Aprovado,6ºA
Carla,9.0,10,Aprovado,6ºA
Davi,8.5,7,Aprovado,6ºA
Eduarda,7.6,5,Aprovado,6ºA
Fábio,9.5,9,Aprovado,6ºB
Gabi,8.3,7,Aprovado,6ºB
Henrique,9.7,3,Aprovado,6ºB
Iara,4.0,8,Reprovado,6ºB
João,9.2,0,Aprovado,6ºB
Karla,8.2,9,Aprovado,7ºA
Lucas,9.2,9,Aprovado,7ºA
Maria,8.5,4,Aprovado,7ºA
Nathan,4.3,9,Reprovado,7ºA
Olívia,7.9,10,Aprovado,7ºA
Paulo,4.0,2,Reprovado,7ºB
Quésia,7.5,10,Aprovado,7ºB
Rafael,4.7,2,Reprovado,7ºB
Sílvia,4.7,2,Reprovado,7ºB
Tiago,4.2,8,Reprovado,7ºB
