nome,nota,faltas,situação,turma
Ana,8.5,3,Aprovado,6ºA
Bruno,5.8,7,Reforço,6ºA
Carla,6.5,1,Reforço,6ºA
Davi,6.4,4,Reforço,6ºA
Eduarda,9.8,1,Aprovado,6ºA
Fábio,5.0,10,Reforço,6ºB
Gabi,8.0,3,Aprovado,6ºB
Henrique,5.0,10,Reforço,6ºB
Iara,7.2,7,Aprovado,6ºB
João,7.1,9,Aprovado,6ºB
Karla,6.0,0,Reforço,7ºA
Lucas,9.1,7,Aprovado,7ºA
Maria,6.5,8,Reforço,7ºA
Nathan,5.1,10,Reforço,7ºA
Olívia,7.6,4,Aprovado,7ºA
Paulo,5.3,7,Reforço,7ºB
Quésia,8.4,8,Aprovado,7ºB
Rafael,4.6,2,Reprovado,7ºB
Sílvia,9.4,6,Aprovado,7ºB
Tiago,6.0,2,Reforço,7ºB
