nome,nota,faltas,situação,turma
Ana,9.2,6,Aprovado,6ºA
Bruno,8.5,1,Aprovado,6ºA
Carla,7.3,3,Aprovado,6ºA
Davi,4.1,2,Reprovado,6ºA
Eduarda,8.5,8,Aprovado,6ºA
Fábio,5.0,3,Reforço,6ºB
Gabi,9.9,7,Aprovado,6ºB
Henrique,7.8,5,Aprovado,6ºB
Iara,6.1,1,Reforço,6ºB
João,7.8,7,Aprovado,6ºB
Karla,9.7,4,Aprovado,7ºA
Lucas,7.2,1,Aprovado,7ºA
Maria,6.9,2,Reforço,7ºA
Nathan,5.4,1,Reforço,7ºA
Olívia,8.1,0,Aprovado,7ºA
Paulo,9.1,3,Aprovado,7ºB
Quésia,4.4,0,Reprovado,7ºB
Rafael,6.1,10,Reforço,7ºB
Sílvia,7.5,0,Aprovado,7ºB
Tiago,6.3,1,Reforço,7ºB
