nome,nota,faltas,situação,turma
Ana,9.6,7,Aprovado,6ºA
Bruno,6.7,0,Reforço,6ºA
Carla,4.5,1,Reprovado,6ºA
Davi,5.3,5,Reforço,6ºA
Eduarda,8.8,3,Aprovado,6ºA
Fábio,5.5,6,Reforço,6ºB
Gabi,6.5,9,Reforço,6ºB
Henrique,5.3,3,Reforço,6ºB
Iara,9.0,1,Aprovado,6ºB
João,5.4,2,Reforço,6ºB
Karla,5.9,7,Reforço,7ºA
Lucas,9.6,4,Aprovado,7ºA
Maria,7.1,6,Aprovado,7ºA
Nathan,4.9,2,Reprovado,7ºA
Olívia,9.4,8,Aprovado,7ºA
Paulo,8.4,7,Aprovado,7ºB
Quésia,6.9,9,Reforço,7ºB
Rafael,6.7,9,Reforço,7ºB
Sílvia,6.1,8,Reforço,7ºB
Tiago,8.0,10,Aprovado,7ºB
