nome,nota,faltas,situação,turma
Ana,9.2,2,Aprovado,6ºA
Bruno,4.7,4,Reprovado,6ºA
Carla,5.1,10,Reforço,6ºA
Davi,7.8,0,Aprovado,6ºA
Eduarda,5.6,7,Reforço,6ºA
Fábio,8.3,8,Aprovado,6ºB
Gabi,6.6,9,Reforço,6ºB
Henrique,4.3,1,Reprovado,6ºB
Iara,8.4,9,Aprovado,6ºB
João,4.9,0,Reprovado,6ºB
Karla,8.9,1,Aprovado,7ºA
Lucas,4.2,7,Reprovado,7ºA
Maria,6.4,9,Reforço,7ºA
Nathan,4.5,9,Reprovado,7ºA
Olívia,7.1,6,Aprovado,7ºA
Paulo,8.0,7,Aprovado,7ºB
Quésia,6.9,5,Reforço,7ºB
Rafael,9.9,2,Aprovado,7ºB
Sílvia,8.7,4,Aprovado,7ºB
Tiago,9.0,5,Aprovado,7ºB
