nome,nota,faltas,situação,turma
Ana,5.9,0,Reforço,6ºA
Bruno,9.1,7,Aprovado,6ºA
Carla,4.1,2,Reprovado,6ºA
Davi,8.4,9,Aprovado,6ºA
Eduarda,9.4,1,Aprovado,6ºA
Fábio,7.3,1,Aprovado,6ºB
Gabi,4.9,4,Reprovado,6ºB
Henrique,4.8,8,Reprovado,6ºB
Iara,4.2,5,Reprovado,6ºB
João,5.5,4,Reforço,6ºB
Karla,6.2,9,Reforço,7ºA
Lucas,4.4,10,Reprovado,7ºA
Maria,6.8,10,Reforço,7ºA
Nathan,5.6,4,Reforço,7ºA
Olívia,5.0,0,Reforço,7ºA
Paulo,9.4,5,Aprovado,7ºB
Quésia,5.7,6,Reforço,7ºB
Rafael,7.6,8,Aprovado,7ºB
Sílvia,5.2,2,Reforço,7ºB
Tiago,7.5,5,Aprovado,7ºB
